Sample,Abbottina_rivularis,Acheilognathus_chankaensis,Acheilognathus_macropterus,Aphyocypris_chinensis,Barbatula_nuda,Brachymystax_lenok,Carassius_auratus,Carassius_gibelio,Channa_argus,Chanodichthys_erythropterus,Chanodichthys_mongolicus,Cobitis_lutheri,Cobitis_melanoleuca,Coregonus_chadary,Cottus_poecilopus,Ctenopharyngodon_idella,Culter_alburnus,Cyprinus_carpio,Elopichthys_bambusa,Esox_lucius,Esox_reichertii,Eudontomyzon_morii,Gnathopogon_strigatus,Gobio_cynocephalus,Gobio_soldatovi,Gobiobotia_pappenheimi,Hemibarbus_labeo,Hemibarbus_maculatus,Hemiculter_bleekeri,Hemiculter_leucisculus,Hucho_taimen,Hypomesus_nipponensis,Hypomesus_olidus,Hypophthalmichthys_molitrix,Hypophthalmichthys_nobilis,Ictalurus_punctatus,Ladislavia_taczanowskii,Lefua_costata,Leiocassis_longirostris,Leuciscus_waleckii,Lota_lota,Luciobarbus_capito,Macropodus_chinensis,Megalobrama_skolkovii,Megalobrama_terminalis,Mesocottus_haitej,Micropercops_swinhonis,Microphysogobio_amurensis,Misgurnus_anguillicaudatus,Misgurnus_mohoity,Mylopharyngodon_piceus,Neosalanx_taihuensis,Oncorhynchus_keta,Oncorhynchus_mykiss,Opsariichthys_bidens,Oryzias_latipes,Parabotia_fasciatus,Parabramis_pekinensis,Paramisgurnus_dabryanus,Perca_fluviatilis,Perccottus_glenii,Phoxinus_phoxinus,Plagiognathops_microlepis,Protosalanx_hyalocranius,Pseudaspius_leptocephalus,Pseudobrama_simoni,Pseudorasbora_parva,Pungitius_sinensis,Rhinogobius_brunneus,Rhinogobius_cliffordpopei,Rhodeus_lighti,Rhodeus_ocellatus,Rhodeus_sericeus,Rhodeus_sinensis,Rhynchocypris_czekanowskii,Rhynchocypris_lagowskii,Rhynchocypris_oxycephalus,Rhynchocypris_percnurus,Rutilus_rutilus,Salvelinus_leucomaenis,Salvelinus_malma,Sander_lucioperca,Sarcocheilichthys_lacustris,Sarcocheilichthys_nigripinnis,Saurogobio_dabryi,Silurus_asotus,Siniperca_chuatsi,Squalidus_argentatus,Squalidus_chankaensis,Squaliobarbus_curriculus,Tachysurus_argentivittatus,Tachysurus_fulvidraco,Tachysurus_nitidus,Tachysurus_ussuriensis,Thymallus_arcticus,Thymallus_grubii,Thymallus_tugarinae,Tinca_tinca,Xenocypris_argentea,Zacco_platypus
Autumn_W08_3,10,909,7,0,8,20,53,3103,0,1,1,2,0,0,0,12,10,2302,0,0,1281,0,1,0,2,0,22,33,56,1044,0,0,0,0,3,0,18,1,0,22,6,1,0,0,0,0,0,2,1,0,0,0,22985,3,0,4,0,0,0,0,732,0,0,0,5,0,41,10,941,4,536,0,38,2,0,8,277,5,2,0,0,0,2,0,11,1766,1105,22,39,0,46,2076,10,2,0,0,0,4,95,0
Autumn_W09_1,8,1470,36,0,4,14,242,4472,2,35,65,43,0,0,2,11,13,1620,2,0,6325,0,5,0,79,0,9,4,205,11783,0,2,0,0,3,0,0,0,0,224,3,11,0,0,1,0,3,2,0,0,0,0,4502,2,0,393,0,0,0,0,1229,0,1,0,1,0,1245,1,119,127,1144,0,1841,5,0,14,63,57,21,0,0,0,0,1,1,2802,2,0,1664,0,5,130,15,1,0,0,10,2,2306,0
Autumn_W09_2,126,1334,3,0,2,7,155,3871,1,9,4,4,0,0,0,7,10,663,0,0,2675,0,2,0,2,0,102,6,350,11786,0,215,1,0,6,0,0,0,0,325,7,4,0,0,0,0,0,0,0,0,0,0,3724,0,0,763,1,0,0,0,1096,0,0,0,7,0,2168,6,3,4,870,3,1108,6,0,15,155,137,16,0,0,0,0,2,1,2343,267,0,1800,0,19,2,19,0,0,0,0,4,2323,0
Autumn_W09_3,162,880,0,0,12,13,364,4385,0,7,1,9,1,0,0,4,4,2384,1,0,4519,0,5,5,11,0,9,1,258,9145,1,186,0,0,7,4,2,1,0,136,251,4,0,0,3,0,0,0,0,1,0,0,13838,2,0,288,0,0,0,0,1852,0,2,0,1,0,1771,4,5,448,1310,0,2539,3,0,10,27,149,16,0,0,0,0,2,0,1160,3,15,1132,0,9,6,41,7,0,0,8,1,1377,2
Autumn_W10_1,212,2801,4,0,10,1,91,16026,1,5,0,1,4,0,0,24,0,333,0,0,1690,0,12,30,3,5,5,6,57,7543,0,9,0,0,53,0,0,0,0,863,35,9,0,0,0,0,0,0,0,0,0,0,2906,2,0,410,0,0,0,0,3235,0,0,0,0,0,1125,1,3,246,849,1,4164,18,0,63,21,729,4,0,0,0,0,123,3,1552,1,1,649,0,65,5,39,13,0,0,1,1,104,0
Autumn_W10_2,5,2623,3,0,59,16,52,12038,0,151,1,128,0,0,0,6,22,588,30,0,842,0,11,1,125,0,15,6,37,4440,0,3,0,0,109,0,1,3,0,147,0,6,0,0,0,0,10,0,0,0,0,0,13394,1,0,7,0,0,0,0,3589,0,0,0,3,0,642,2,1,6,230,1,2589,0,11,121,468,127,5,1,0,0,0,17,0,1429,21,0,874,0,43,54,29,0,0,0,0,1,110,0
Autumn_W10_3,183,2241,3,0,3,17,84,22551,0,4,2,0,0,0,0,18,0,876,1,0,1777,0,1,0,102,0,201,36,62,5822,0,3,0,0,255,0,14,1,0,48,21,3,0,0,0,0,1,3,0,0,0,0,3154,1,0,489,0,0,0,0,4468,0,0,0,1,0,980,7,41,12,899,0,4938,1,0,186,37,297,8,0,0,0,5,0,9,1985,45,30,563,0,45,73,9,5,0,0,2,0,167,1
Autumn_W11_1,0,40,0,0,4025,166,9,869,0,0,0,168,0,0,0,4,0,118,0,0,294,165,0,117,49,0,0,4,4,582,0,1146,7,0,17,2,0,1361,0,33,16,0,0,0,0,0,0,0,112,0,0,0,19004,7,0,121,0,0,25,0,1510,413,0,0,42,0,96,2940,16,5,352,1,1925,0,861,4386,2106,287,1,0,0,0,0,18,3,192,0,6,1,0,0,8,0,0,1,3,506,2,165,0
Autumn_W11_2,0,36,0,0,4436,640,6,644,0,0,0,34,1,0,0,35,0,11,0,0,734,1,0,517,417,0,5,0,20,362,3,6,0,0,1,3,0,2320,0,74,0,0,0,0,0,0,0,0,242,0,0,0,2520,29,0,100,0,0,1,0,1819,763,0,5,3,0,29,4268,7,5,218,0,4933,0,357,7951,106,436,0,31,0,14,0,1,6,44,6,0,2,0,0,3,0,0,1,7,1078,0,83,5
Autumn_W11_3,0,36,1,0,4999,580,10,238,0,1,0,3,0,0,0,38,1,8,0,0,719,0,0,447,386,0,4,6,7,280,0,3,1,0,0,0,0,2363,0,46,0,1,0,0,0,0,0,0,178,0,0,0,1209,0,0,46,0,0,2,0,1623,661,0,0,0,0,14,5834,0,1,139,1,5810,1,349,9980,63,292,0,7,0,0,0,0,9,55,0,0,0,0,0,4,0,0,11,56,1131,0,54,2
Autumn_W12_1,33,810,2,0,1123,61,20,2304,0,0,0,205,0,0,0,127,0,61,0,0,427,1,1,125,451,0,0,0,3,4045,0,6,0,1,0,2,0,174,0,456,0,0,0,0,0,0,0,0,10,0,0,0,4342,6,0,8080,1,0,1,0,876,45,0,0,8,0,311,332,1,192,12305,2,2859,22,169,3220,127,502,0,0,0,0,0,0,3,1228,0,0,50,0,0,534,0,0,2,1,65,4,14,91
Autumn_W12_2,0,91,0,0,456,84,28,841,44,0,0,3,0,2,0,49,0,363,0,1,367,0,0,16,87,0,1,0,1,1186,0,9,0,0,44,5,0,123,0,37,0,0,0,0,0,0,0,0,8,0,0,0,25996,50,0,3530,3,0,0,0,212,28,0,0,77,0,209,297,298,533,5079,0,1622,30,80,2028,3436,306,1,4,0,0,0,0,5,318,0,0,1,0,0,4,0,0,38,2,102,2,13,3
Autumn_W12_3,0,1971,8,0,550,174,17,3700,0,0,0,5,6,0,0,4,0,164,0,0,146,2,0,222,25,0,1,0,3,4467,0,8,0,0,2,194,0,179,0,696,0,1,0,0,0,0,0,0,14,0,0,0,4068,13,0,11321,0,0,0,0,363,65,0,0,7,0,590,421,3,11,14899,1,3342,36,175,3545,127,388,0,9,0,1,0,0,5,710,0,0,187,0,0,2,0,0,2,1,124,6,12,0
Autumn_W13_1,0,590,0,0,685,35,65,17798,0,0,0,875,2,0,0,1,0,131,0,0,48,7,0,18,24,0,0,8,163,290,0,35,1,0,13,0,0,93,0,11,20,4,0,0,0,0,0,0,51,0,0,0,2253,2,0,3,1,0,218,0,8087,25,0,0,5,0,52,226,9,0,15,0,166,0,178,838,271,32,2,1,0,3,0,18,0,145,2,93,0,0,0,1,0,0,0,0,69,1,133,1
Autumn_W13_2,0,124,1,0,805,88,69,15758,0,0,0,764,3,0,0,4,1,130,0,0,634,0,0,43,57,0,1,0,215,207,0,1,0,0,0,1,0,143,0,8,1,4,0,0,0,0,0,0,249,0,0,0,3222,20,0,4,0,0,3,0,7774,80,0,4,1,0,27,284,1,0,194,0,857,0,177,1045,34,151,1,9,0,353,0,1,0,31,113,0,0,0,0,1,0,0,1,1,88,1,57,2
Autumn_W13_3,0,366,0,0,1229,180,144,12272,0,3,1,241,0,0,0,22,0,33,0,0,546,1,0,104,70,0,10,11,16,631,0,1,0,0,1,0,0,390,0,169,0,5,0,0,0,0,0,0,30,0,0,0,13999,5,0,5,0,0,203,0,7033,96,0,1,8,0,10,1017,0,0,18,0,931,0,360,2517,440,633,0,4,0,6,0,0,1,457,3,2,0,0,0,0,0,0,5,11,261,0,120,3
